name,material,template,render
acacia_planks_beams,acacia_planks,cube_all,
acacia_planks_brick_pattern,acacia_planks,cube_all,
acacia_planks_brick_paving,acacia_planks,cube_all,
acacia_planks_bricks,acacia_planks,cube_all,
acacia_planks_crate,acacia_planks,cube_all,
acacia_planks_diagonal_stripes,acacia_planks,cube_all,
acacia_planks_diagonal_tiles,acacia_planks,cube_all,
acacia_planks_dotted,acacia_planks,cube_all,
acacia_planks_fine_mosaic,acacia_planks,cube_all,
acacia_planks_flooring,acacia_planks,cube_all,
acacia_planks_large_tiles,acacia_planks,cube_all,
acacia_planks_mosaic,acacia_planks,cube_all,
acacia_planks_panel,acacia_planks,cube_all,
acacia_planks_pattern,acacia_planks,cube_all,
acacia_planks_rotated_bricks,acacia_planks,cube_all,
acacia_planks_shavings,acacia_planks,cube_all,
acacia_planks_small_bricks,acacia_planks,cube_all,
acacia_planks_small_tiles,acacia_planks,cube_all,
acacia_planks_squares,acacia_planks,cube_all,
acacia_planks_wavy,acacia_planks,cube_all,
acacia_planks_woven,acacia_planks,cube_all,
acacia_planks_basket_woven,acacia_planks,cube_all,
acacia_planks_boxed,acacia_planks,cube_all,
acacia_planks_brick_bond,acacia_planks,cube_all,
acacia_planks_bricky,acacia_planks,cube_all,
acacia_planks_cornered,acacia_planks,cube_all,
acacia_planks_crated,acacia_planks,cube_all,
acacia_planks_cross_laced,acacia_planks,cube_all,
acacia_planks_crossed,acacia_planks,cube_all,
acacia_planks_detailed,acacia_planks,cube_all,
acacia_planks_diagonal,acacia_planks,cube_all,
acacia_planks_diamond,acacia_planks,cube_all,
acacia_planks_double_herringbone,acacia_planks,cube_all,
acacia_planks_enclosed,acacia_planks,cube_all,
acacia_planks_fine,acacia_planks,cube_all,
acacia_planks_fine_vertical,acacia_planks,cube_all,
acacia_planks_framed,acacia_planks,cube_all,
acacia_planks_herringbone,acacia_planks,cube_all,
acacia_planks_hewn,acacia_planks,cube_all,
acacia_planks_laced,acacia_planks,cube_all,
acacia_planks_nailed,acacia_planks,cube_all,
acacia_planks_natural,acacia_planks,cube_all,
acacia_planks_pegged,acacia_planks,cube_all,
