# name,material  (generated by gen_import.py)
acacia_planks_fine_mosaic,acacia_planks
acacia_planks_mosaic,acacia_planks
acacia_planks_shavings,acacia_planks
basket_woven_acacia_planks,acacia_planks
boxed_acacia_planks,acacia_planks
brick_bond_acacia_planks,acacia_planks
bricky_acacia_planks,acacia_planks
cross_laced_acacia_planks,acacia_planks
crossed_acacia_planks,acacia_planks
detailed_acacia_planks,acacia_planks
diagonal_acacia_planks,acacia_planks
diamond_acacia_planks,acacia_planks
double_herringbone_acacia_planks,acacia_planks
fine_acacia_planks,acacia_planks
fine_vertical_acacia_planks,acacia_planks
herringbone_acacia_planks,acacia_planks
hewn_acacia_planks,acacia_planks
laced_acacia_planks,acacia_planks
nailed_acacia_planks,acacia_planks
polished_acacia_planks,acacia_planks
railed_acacia_planks,acacia_planks
shifted_acacia_planks,acacia_planks
slanted_acacia_planks,acacia_planks
smooth_acacia_planks,acacia_planks
stacked_acacia_planks,acacia_planks
thin_acacia_planks,acacia_planks
tiled_acacia_planks,acacia_planks
versailles_acacia_planks,acacia_planks
vertical_acacia_planks,acacia_planks
vertically_railed_acacia_planks,acacia_planks
wickered_acacia_planks,acacia_planks
amethyst_block_diagonal_tiles,amethyst_block
amethyst_block_jewel,amethyst_block
amethyst_block_mini_tiles,amethyst_block
amethyst_block_scales,amethyst_block
amethyst_block_smooth,amethyst_block
angry_amethyst_block,amethyst_block
carved_amethyst_block,amethyst_block
checkered_amethyst_block_tiles,amethyst_block
cobbled_amethyst_block,amethyst_block
cracked_amethyst_block_bricks,amethyst_block
cracked_disordered_amethyst_block_bricks,amethyst_block
cracked_flat_amethyst_block_tiles,amethyst_block
creeper_amethyst_block_carving,amethyst_block
crying_amethyst_block,amethyst_block
cut_blank_amethyst_block,amethyst_block
diagonal_amethyst_block,amethyst_block
duh_amethyst_block,amethyst_block
engraved_amethyst_block,amethyst_block
eroded_amethyst_block,amethyst_block
etched_amethyst_block_bricks,amethyst_block
flat_amethyst_block_tiles,amethyst_block
glad_amethyst_block,amethyst_block
inlayed_amethyst_block,amethyst_block
inscribed_amethyst_block,amethyst_block
jeweled_amethyst_block,amethyst_block
layed_amethyst_block_bricks,amethyst_block
loded_amethyst_block,amethyst_block
offset_amethyst_block_bricks,amethyst_block
prismal_amethyst_block_remnants,amethyst_block
rough_amethyst_block,amethyst_block
rounded_amethyst_block_bricks,amethyst_block
runic_carved_amethyst_block,amethyst_block
sad_amethyst_block,amethyst_block
sanded_amethyst_block,amethyst_block
small_amethyst_block_bricks,amethyst_block
small_diamond_amethyst_block,amethyst_block
smooth_inlayed_amethyst_block,amethyst_block
smooth_ringed_amethyst_block,amethyst_block
smoothed_double_inlayed_amethyst_block,amethyst_block
spiraled_amethyst_block,amethyst_block
stacked_amethyst_block_bricks,amethyst_block
tiled_amethyst_block,amethyst_block
tiny_amethyst_block_bricks,amethyst_block
tiny_layered_amethyst_block_bricks,amethyst_block
tiny_layered_amethyst_block_slabs,amethyst_block
trodden_amethyst_block,amethyst_block
unamused_amethyst_block,amethyst_block
vertical_cut_amethyst_block,amethyst_block
vertical_disordered_amethyst_block_bricks,amethyst_block
weathered_amethyst_block,amethyst_block
ancient_debris_bricks,ancient_debris
ancient_debris_mini_tiles,ancient_debris
ancient_debris_scales,ancient_debris
angry_ancient_debris,ancient_debris
carved_ancient_debris,ancient_debris
checkered_ancient_debris_tiles,ancient_debris
cobbled_ancient_debris,ancient_debris
cracked_ancient_debris_bricks,ancient_debris
cracked_disordered_ancient_debris_bricks,ancient_debris
cracked_flat_ancient_debris_tiles,ancient_debris
creeper_ancient_debris_carving,ancient_debris
crying_ancient_debris,ancient_debris
cut_blank_ancient_debris,ancient_debris
duh_ancient_debris,ancient_debris
engraved_ancient_debris,ancient_debris
eroded_ancient_debris,ancient_debris
etched_ancient_debris_bricks,ancient_debris
flat_ancient_debris_tiles,ancient_debris
glad_ancient_debris,ancient_debris
inlayed_ancient_debris,ancient_debris
inscribed_ancient_debris,ancient_debris
layed_ancient_debris_bricks,ancient_debris
loded_ancient_debris,ancient_debris
offset_ancient_debris_bricks,ancient_debris
prismal_ancient_debris_remnants,ancient_debris
rough_ancient_debris,ancient_debris
rounded_ancient_debris_bricks,ancient_debris
runic_carved_ancient_debris,ancient_debris
sad_ancient_debris,ancient_debris
sanded_ancient_debris,ancient_debris
small_ancient_debris_bricks,ancient_debris
smooth_inlayed_ancient_debris,ancient_debris
smooth_ringed_ancient_debris,ancient_debris
smoothed_double_inlayed_ancient_debris,ancient_debris
spiraled_ancient_debris,ancient_debris
stacked_ancient_debris_bricks,ancient_debris
tiled_ancient_debris,ancient_debris
tiny_ancient_debris_bricks,ancient_debris
tiny_layered_ancient_debris_bricks,ancient_debris
tiny_layered_ancient_debris_slabs,ancient_debris
trodden_ancient_debris,ancient_debris
unamused_ancient_debris,ancient_debris
vertical_cut_ancient_debris,ancient_debris
vertical_disordered_ancient_debris_bricks,ancient_debris
weathered_ancient_debris,ancient_debris
andesite_diamond_pavers,andesite
andesite_large_bricks,andesite
andesite_large_bricks_cracked,andesite
andesite_mini_tiles,andesite
andesite_scales,andesite
andesite_small_brick,andesite
angry_andesite,andesite
bordered_andesite,andesite
carved_andesite,andesite
checkered_andesite_tiles,andesite
cobbled_andesite,andesite
cracked_andesite_bricks,andesite
cracked_disordered_andesite_bricks,andesite
cracked_flat_andesite_tiles,andesite
cracked_tiny_andesite_tiles,andesite
creeper_andesite_carving,andesite
crying_andesite,andesite
cut_blank_andesite,andesite
duh_andesite,andesite
engraved_andesite,andesite
eroded_andesite,andesite
etched_andesite_bricks,andesite
flat_andesite_tiles,andesite
glad_andesite,andesite
inlayed_andesite,andesite
inscribed_andesite,andesite
layed_andesite_bricks,andesite
loded_andesite,andesite
mossy_andesite_bricks,andesite
mossy_cobbled_andesite,andesite
mossy_large_andesite_bricks,andesite
offset_andesite_bricks,andesite
polished_andesite,andesite
prismal_andesite_remnants,andesite
rough_andesite,andesite
rounded_andesite_bricks,andesite
runic_carved_andesite,andesite
sad_andesite,andesite
sanded_andesite,andesite
small_andesite_bricks,andesite
smooth_inlayed_andesite,andesite
smooth_ringed_andesite,andesite
smoothed_double_inlayed_andesite,andesite
spiraled_andesite,andesite
stacked_andesite_bricks,andesite
tiled_andesite,andesite
tiny_andesite_bricks,andesite
tiny_layered_andesite_bricks,andesite
tiny_layered_andesite_slabs,andesite
trodden_andesite,andesite
unamused_andesite,andesite
vertical_cut_andesite,andesite
vertical_disordered_andesite_bricks,andesite
weathered_andesite,andesite
angry_asurine,asurine
asurine_bricks,asurine
asurine_mini_tiles,asurine
asurine_scales,asurine
bordered_asurine,asurine
brick_bordered_asurine,asurine
carved_asurine,asurine
checkered_asurine_tiles,asurine
cobbled_asurine,asurine
cracked_asurine_bricks,asurine
cracked_disordered_asurine_bricks,asurine
cracked_flat_asurine_tiles,asurine
creeper_asurine_carving,asurine
crying_asurine,asurine
cut_blank_asurine,asurine
duh_asurine,asurine
edged_asurine_bricks,asurine
engraved_asurine,asurine
eroded_asurine,asurine
etched_asurine_bricks,asurine
flat_asurine_tiles,asurine
glad_asurine,asurine
inlayed_asurine,asurine
inscribed_asurine,asurine
layed_asurine_bricks,asurine
loded_asurine,asurine
offset_asurine_bricks,asurine
overlapping_asurine_tiles,asurine
polished_asurine,asurine
prismal_asurine_remnants,asurine
rough_asurine,asurine
rounded_asurine_bricks,asurine
runic_carved_asurine,asurine
sad_asurine,asurine
sanded_asurine,asurine
small_asurine_bricks,asurine
smooth_inlayed_asurine,asurine
smooth_ringed_asurine,asurine
smoothed_double_inlayed_asurine,asurine
spiraled_asurine,asurine
stacked_asurine_bricks,asurine
thick_inlayed_asurine,asurine
tiled_asurine,asurine
tiled_bordered_asurine,asurine
tiny_asurine_bricks,asurine
tiny_brick_bordered_asurine,asurine
tiny_layered_asurine_bricks,asurine
tiny_layered_asurine_slabs,asurine
trodden_asurine,asurine
unamused_asurine,asurine
vertical_cut_asurine,asurine
vertical_disordered_asurine_bricks,asurine
weathered_asurine,asurine
bamboo_planks_fine_mosaic,bamboo_planks
bamboo_planks_mosaic,bamboo_planks
bamboo_planks_shavings,bamboo_planks
basket_woven_bamboo_planks,bamboo_planks
boxed_bamboo_planks,bamboo_planks
brick_bond_bamboo_planks,bamboo_planks
bricky_bamboo_planks,bamboo_planks
cross_laced_bamboo_planks,bamboo_planks
crossed_bamboo_planks,bamboo_planks
detailed_bamboo_planks,bamboo_planks
diagonal_bamboo_planks,bamboo_planks
diamond_bamboo_planks,bamboo_planks
double_herringbone_bamboo_planks,bamboo_planks
fine_bamboo_planks,bamboo_planks
fine_vertical_bamboo_planks,bamboo_planks
herringbone_bamboo_planks,bamboo_planks
hewn_bamboo_planks,bamboo_planks
laced_bamboo_planks,bamboo_planks
nailed_bamboo_planks,bamboo_planks
pegged_bamboo_planks,bamboo_planks
railed_bamboo_planks,bamboo_planks
reinforced_bamboo_planks,bamboo_planks
shifted_bamboo_planks,bamboo_planks
slanted_bamboo_planks,bamboo_planks
smooth_bamboo_planks,bamboo_planks
stacked_bamboo_planks,bamboo_planks
thin_bamboo_planks,bamboo_planks
tiled_bamboo_planks,bamboo_planks
versailles_bamboo_planks,bamboo_planks
vertical_bamboo_planks,bamboo_planks
vertically_railed_bamboo_planks,bamboo_planks
wickered_bamboo_planks,bamboo_planks
angry_basalt,basalt
basalt_chiseled_piglin,basalt
basalt_mini_tiles,basalt
basalt_scales,basalt
carved_basalt,basalt
checkered_basalt_tiles,basalt
chiseled_basalt,basalt
cobbled_basalt,basalt
cracked_basalt_bricks,basalt
cracked_disordered_basalt_bricks,basalt
cracked_flat_basalt_tiles,basalt
cracked_tiny_basalt_tiles,basalt
creeper_basalt_carving,basalt
crying_basalt,basalt
cut_blank_basalt,basalt
duh_basalt,basalt
engraved_basalt,basalt
eroded_basalt,basalt
etched_basalt_bricks,basalt
flat_basalt_tiles,basalt
glad_basalt,basalt
inlayed_basalt,basalt
inscribed_basalt,basalt
layed_basalt_bricks,basalt
loded_basalt,basalt
mossy_basalt_bricks,basalt
mossy_cobbled_basalt,basalt
offset_basalt_bricks,basalt
prismal_basalt_remnants,basalt
rough_basalt,basalt
rounded_basalt_bricks,basalt
