name,wood,top_tex,bottom_tex
oak_barn_door,oak,,
oak_barn_glass_door,oak,,oak_barn_door_bottom
oak_beach_door,oak,,
oak_cottage_door,oak,,
oak_dual_paneled_door,oak,,
oak_engraved_door,oak,,
oak_four_panel_door,oak,,
oak_gated_door,oak,,
oak_glass_door,oak,,
oak_heavy_door,oak,,
oak_japanese_door,oak,,
oak_modern_door,oak,,
oak_mystic_door,oak,,
oak_nether_door,oak,,
oak_overgrown_door,oak,,
oak_paneled_door,oak,,
oak_paper_door,oak,,
oak_pressed_door,oak,,
oak_screen_door,oak,,
oak_secret_door,oak,,
oak_stable_door,oak,,
oak_stable_head_door,oak,oak_stable_door_top,
oak_swamp_door,oak,,
oak_tile_windowed_door,oak,,
oak_tiled_door,oak,,
oak_tropical_door,oak,,
oak_waffle_door,oak,,
oak_whispering_door,oak,,
oak_windowed_door,oak,,
spruce_barn_door,spruce,,
spruce_barn_glass_door,spruce,,spruce_barn_door_bottom
spruce_beach_door,spruce,,
spruce_classic_door,spruce,,
spruce_dual_paneled_door,spruce,,
spruce_engraved_door,spruce,,
spruce_four_panel_door,spruce,,
spruce_glass_door,spruce,,
spruce_heavy_door,spruce,,
spruce_japanese_door,spruce,,
spruce_modern_door,spruce,,
spruce_mystic_door,spruce,,
spruce_nether_door,spruce,,
spruce_overgrown_door,spruce,,
spruce_paneled_door,spruce,,
spruce_paper_door,spruce,,
spruce_pressed_door,spruce,,
spruce_screen_door,spruce,,
spruce_secret_door,spruce,,
spruce_stable_door,spruce,,
spruce_stable_head_door,spruce,spruce_stable_door_top,
spruce_swamp_door,spruce,,
spruce_tile_windowed_door,spruce,,
spruce_tiled_door,spruce,,
spruce_tropical_door,spruce,,
spruce_waffle_door,spruce,,
spruce_whispering_door,spruce,,
spruce_windowed_door,spruce,,
birch_barn_door,birch,,
birch_barn_glass_door,birch,,birch_barn_door_bottom
birch_beach_door,birch,,
birch_classic_door,birch,,
birch_cottage_door,birch,,
birch_dual_paneled_door,birch,,
birch_engraved_door,birch,,
birch_four_panel_door,birch,,
birch_gated_door,birch,,
birch_glass_door,birch,,
birch_heavy_door,birch,,
birch_japanese_door,birch,,
birch_modern_door,birch,,
birch_mystic_door,birch,,
birch_nether_door,birch,,
birch_overgrown_door,birch,,
birch_paneled_door,birch,,
birch_pressed_door,birch,,
birch_screen_door,birch,,
birch_secret_door,birch,,
birch_stable_door,birch,,
birch_stable_head_door,birch,birch_stable_door_top,
birch_swamp_door,birch,,
birch_tile_windowed_door,birch,,
birch_tiled_door,birch,,
birch_tropical_door,birch,,
birch_waffle_door,birch,,
birch_whispering_door,birch,,
birch_windowed_door,birch,,
jungle_barn_door,jungle,,
jungle_barn_glass_door,jungle,,jungle_barn_door_bottom
jungle_classic_door,jungle,,
jungle_cottage_door,jungle,,
jungle_dual_paneled_door,jungle,,
jungle_engraved_door,jungle,,
jungle_four_panel_door,jungle,,
jungle_gated_door,jungle,,
jungle_glass_door,jungle,,
jungle_heavy_door,jungle,,
jungle_japanese_door,jungle,,
jungle_modern_door,jungle,,
jungle_mystic_door,jungle,,
jungle_nether_door,jungle,,
jungle_overgrown_door,jungle,,
jungle_paneled_door,jungle,,
jungle_paper_door,jungle,,
jungle_pressed_door,jungle,,
jungle_screen_door,jungle,,
jungle_secret_door,jungle,,
jungle_stable_door,jungle,,
jungle_stable_head_door,jungle,jungle_stable_door_top,
jungle_swamp_door,jungle,,
jungle_tile_windowed_door,jungle,,
jungle_tiled_door,jungle,,
jungle_tropical_door,jungle,,
jungle_waffle_door,jungle,,
jungle_whispering_door,jungle,,
jungle_windowed_door,jungle,,
acacia_barn_door,acacia,,
acacia_barn_glass_door,acacia,,acacia_barn_door_bottom
acacia_beach_door,acacia,,
acacia_classic_door,acacia,,
acacia_cottage_door,acacia,,
acacia_dual_paneled_door,acacia,,
acacia_engraved_door,acacia,,
acacia_four_panel_door,acacia,,
acacia_gated_door,acacia,,
acacia_glass_door,acacia,,
acacia_heavy_door,acacia,,
acacia_japanese_door,acacia,,
acacia_modern_door,acacia,,
acacia_mystic_door,acacia,,
acacia_nether_door,acacia,,
acacia_overgrown_door,acacia,,
acacia_paneled_door,acacia,,
acacia_paper_door,acacia,,
acacia_pressed_door,acacia,,
acacia_screen_door,acacia,,
acacia_secret_door,acacia,,
acacia_stable_door,acacia,,
acacia_stable_head_door,acacia,acacia_stable_door_top,
acacia_swamp_door,acacia,,
acacia_tile_windowed_door,acacia,,
acacia_tiled_door,acacia,,
acacia_waffle_door,acacia,,
acacia_whispering_door,acacia,,
acacia_windowed_door,acacia,,
dark_oak_barn_door,dark_oak,,
dark_oak_barn_glass_door,dark_oak,,dark_oak_barn_door_bottom
dark_oak_beach_door,dark_oak,,
dark_oak_classic_door,dark_oak,,
dark_oak_cottage_door,dark_oak,,
dark_oak_dual_paneled_door,dark_oak,,
dark_oak_engraved_door,dark_oak,,
dark_oak_gated_door,dark_oak,,
dark_oak_gilded_door,dark_oak,,
dark_oak_glass_door,dark_oak,,
dark_oak_heavy_door,dark_oak,,
dark_oak_japanese_door,dark_oak,,
dark_oak_modern_door,dark_oak,,
dark_oak_mystic_door,dark_oak,,
dark_oak_nether_door,dark_oak,,
dark_oak_overgrown_door,dark_oak,,
dark_oak_paper_door,dark_oak,,
dark_oak_pressed_door,dark_oak,,
dark_oak_screen_door,dark_oak,,
dark_oak_secret_door,dark_oak,,
dark_oak_stable_door,dark_oak,,
dark_oak_stable_head_door,dark_oak,dark_oak_stable_door_top,
dark_oak_swamp_door,dark_oak,,
dark_oak_tile_windowed_door,dark_oak,,
dark_oak_tiled_door,dark_oak,,
dark_oak_tropical_door,dark_oak,,
dark_oak_waffle_door,dark_oak,,
dark_oak_whispering_door,dark_oak,,
dark_oak_windowed_door,dark_oak,,
mangrove_barn_door,mangrove,,
mangrove_barn_glass_door,mangrove,,mangrove_barn_door_bottom
mangrove_beach_door,mangrove,,
mangrove_classic_door,mangrove,,
mangrove_cottage_door,mangrove,,
mangrove_dual_paneled_door,mangrove,,
mangrove_engraved_door,mangrove,,
mangrove_four_panel_door,mangrove,,
